"";"mandante";"visitante";"time"
"371";"JUV";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"372";"RED";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"373";"SPO";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"374";"FOR";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"375";"GRE";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"376";"AME";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"377";"SAN";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"378";"PAL";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"379";"FLU";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"380";"ATL";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
