"";"mandante";"visitante";"time"
"85";"SPO";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"86";"CEA";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"87";"GRE";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"88";"SAO";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"89";"COR";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"90";"FLA";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"91";"SAN";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"92";"PAL";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"93";"FLU";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"94";"INT";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"95";"ATL";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"96";"FOR";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"97";"BAH";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"98";"ATL";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"99";"CHA";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"100";"RED";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"101";"ATH";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"102";"CUI";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"103";"JUV";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"104";"SPO";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"105";"FOR";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"106";"GRE";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"107";"AME";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"108";"SAO";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"109";"PAL";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"110";"FLA";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"111";"BAH";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"112";"CEA";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"113";"INT";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"114";"AME";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"115";"SAO";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"116";"COR";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"117";"FLU";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"118";"CHA";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"119";"RED";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"120";"ATL";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"121";"FLA";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"122";"CUI";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"123";"JUV";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"124";"ATH";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"125";"SPO";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"126";"FOR";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"127";"GRE";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
